,Squadra,ASCOLI,ASCOLI2,ASCOLI3,BASKET GIOVANE,BASKET GIOVANE2,BASKET GIOVANE3,FALCONARA,FALCONARA2,FALCONARA3,FOSSOMBRONE,FOSSOMBRONE2,FOSSOMBRONE3,GUALDO,GUALDO2,GUALDO3,LORETO,LORETO2,LORETO3,OSIMO,OSIMO2,OSIMO3,P.S. GIORGIO,P.S. GIORGIO2,P.S. GIORGIO3,PERUGIA,PERUGIA2,PERUGIA3,RECANATI,RECANATI2,RECANATI3,SAN MARINO,SAN MARINO2,SAN MARINO3,SPOLETO,SPOLETO2,SPOLETO3,TOLENTINO,TOLENTINO2,TOLENTINO3,UMBERTIDE,UMBERTIDE2,UMBERTIDE3,URBANIA,URBANIA2,URBANIA3
0,ASCOLI,,,,,,,,,,,,,3.0,75.0,88.0,,,,,,,,,,,,,5.0,70.0,93.0,,,,,,,1.0,52.0,89.0,,,,,,
1,BASKET GIOVANE,,,,,,,,,,,,,,,,,,,4.0,55.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,
2,FALCONARA,,,,5.0,72.0,64.0,,,,1.0,51.0,83.0,,,,,,,,,,,,,3.0,62.0,93.0,,,,,,,,,,,,,,,,,,
3,FOSSOMBRONE,4.0,80.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,89.0,52.0,,,,,,,,,
4,GUALDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,69.0,78.0,,,,,,,,,,2.0,67.0,81.0
5,LORETO,,,,1.0,105.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,103.0,45.0,,,
6,OSIMO,,,,,,,,,,,,,,,,5.0,53.0,99.0,,,,3.0,55.0,62.0,,,,1.0,53.0,76.0,,,,,,,,,,,,,,,
7,P.S. GIORGIO,,,,,,,4.0,88.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,84.0,51.0,,,
8,PERUGIA,,,,,,,,,,,,,,,,,,,2.0,74.0,54.0,,,,,,,,,,,,,4.0,94.0,49.0,,,,,,,,,
9,RECANATI,,,,,,,2.0,85.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,73.0,55.0
10,SAN MARINO,2.0,65.0,50.0,,,,,,,5.0,67.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SPOLETO,,,,,,,,,,,,,1.0,68.0,78.0,,,,,,,5.0,79.0,69.0,,,,3.0,44.0,63.0,,,,,,,,,,,,,,,
12,TOLENTINO,,,,,,,,,,,,,5.0,53.0,63.0,2.0,53.0,68.0,,,,,,,,,,,,,3.0,58.0,75.0,,,,,,,,,,,,
13,UMBERTIDE,,,,3.0,91.0,68.0,,,,,,,,,,,,,,,,,,,1.0,68.0,78.0,,,,,,,,,,,,,,,,,,
14,URBANIA,,,,,,,,,,3.0,75.0,64.0,,,,,,,,,,,,,5.0,67.0,54.0,,,,1.0,75.0,45.0,,,,,,,,,,,,
